outcome,match,(Intercept),MR,mental_age,MR:mental_age
X4_sluchova_pozornost_sum_body,POR,25.21 (2.31),-2.43 (3.08),0.52 (0.28),0.26 (0.38)
X4_sluchova_pozornost_opomenuti,DO,6.61 (2.45),-7.01 (3.31),-0.50 (0.29),0.91 (0.40)
X4_sluchova_pozornost_opomenuti,VE,2.77 (3.95),-4.06 (5.60),-0.14 (0.46),0.62 (0.65)
X4_sluchova_pozornost_opomenuti,KOD,6.90 (2.23),-3.66 (2.88),-0.49 (0.27),0.45 (0.35)
X4_sluchova_pozornost_opomenuti,PO,5.20 (2.71),-0.78 (3.75),-0.37 (0.32),0.18 (0.44)
X4_sluchova_pozornost_opomenuti,ŘO,6.67 (1.88),-3.96 (2.49),-0.40 (0.20),0.42 (0.27)
X4_sluchova_pozornost_opomenuti,POČ,5.84 (3.91),3.00 (5.24),-0.46 (0.50),-0.32 (0.67)
X4_sluchova_pozornost_opomenuti,KOS,6.94 (3.39),-2.74 (4.09),-0.55 (0.44),0.36 (0.54)
X4_sluchova_pozornost_opomenuti,SLO,4.57 (3.22),3.55 (4.53),-0.25 (0.40),-0.41 (0.56)
X4_sluchova_pozornost_opomenuti,POR,6.55 (2.27),2.08 (3.03),-0.50 (0.28),-0.23 (0.37)
X4_sluchova_pozornost_zamena,DO,2.08 (1.27),0.52 (1.72),-0.18 (0.15),0.00 (0.21)
X4_sluchova_pozornost_zamena,VE,1.20 (2.07),1.15 (2.93),-0.09 (0.24),-0.04 (0.34)
X4_sluchova_pozornost_zamena,KOD,1.83 (1.07),-0.52 (1.38),-0.16 (0.13),0.15 (0.17)
X4_sluchova_pozornost_zamena,PO,2.96 (1.50),-0.88 (2.07),-0.27 (0.17),0.17 (0.24)
X4_sluchova_pozornost_zamena,ŘO,1.47 (0.87),1.62 (1.16),-0.11 (0.09),-0.11 (0.12)
X4_sluchova_pozornost_zamena,POČ,2.10 (2.11),0.52 (2.83),-0.17 (0.27),-0.01 (0.36)
X4_sluchova_pozornost_zamena,KOS,2.49 (1.56),0.38 (1.88),-0.26 (0.20),0.03 (0.25)
X4_sluchova_pozornost_zamena,SLO,2.95 (1.62),-0.08 (2.29),-0.29 (0.20),0.08 (0.28)
X4_sluchova_pozornost_zamena,POR,2.29 (1.19),-0.39 (1.59),-0.21 (0.14),0.12 (0.19)
X4_sluchova_pozornost_inhibice,DO,5.91 (2.13),-5.28 (2.88),-0.55 (0.25),0.50 (0.35)
X4_sluchova_pozornost_inhibice,VE,-0.27 (1.07),2.38 (1.51),0.05 (0.12),-0.27 (0.17)
X4_sluchova_pozornost_inhibice,KOD,7.15 (2.53),-6.20 (3.28),-0.65 (0.30),0.56 (0.40)
X4_sluchova_pozornost_inhibice,PO,14.44 (3.48),-14.47 (4.82),-1.47 (0.40),1.51 (0.56)
X4_sluchova_pozornost_inhibice,ŘO,6.41 (2.27),-5.79 (3.01),-0.49 (0.24),0.44 (0.32)
X4_sluchova_pozornost_inhibice,POČ,17.47 (4.77),-15.61 (6.40),-1.99 (0.61),1.78 (0.82)
