outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X1_verbalni_pamet_a_uceni_pok5,KOS,mental_age,-0.05 (0.18),-0.258,.798,,
X1_verbalni_pamet_a_uceni_pok5,KOS,MR:mental_age,-0.02 (0.23),-0.074,.942,,
X1_verbalni_pamet_a_uceni_pok5,SLO,(Intercept),4.42 (1.47),,,,
X1_verbalni_pamet_a_uceni_pok5,SLO,MR,0.68 (2.07),0.329,.744,,
X1_verbalni_pamet_a_uceni_pok5,SLO,mental_age,-0.02 (0.18),-0.118,.907,,
X1_verbalni_pamet_a_uceni_pok5,SLO,MR:mental_age,-0.14 (0.26),-0.562,.576,,
X1_verbalni_pamet_a_uceni_pok5,POR,(Intercept),1.10 (1.20),,,,
X1_verbalni_pamet_a_uceni_pok5,POR,MR,2.82 (1.60),1.761,.084,,
X1_verbalni_pamet_a_uceni_pok5,POR,mental_age,0.40 (0.15),2.750,.008,*,
X1_verbalni_pamet_a_uceni_pok5,POR,MR:mental_age,-0.42 (0.20),-2.140,.037,*,
X1_verbalni_pamet_a_uceni_pok6,DO,(Intercept),1.64 (2.10),,,,
X1_verbalni_pamet_a_uceni_pok6,DO,MR,6.26 (2.84),2.201,.032,*,
X1_verbalni_pamet_a_uceni_pok6,DO,mental_age,0.75 (0.25),2.996,.004,*,
X1_verbalni_pamet_a_uceni_pok6,DO,MR:mental_age,-0.97 (0.34),-2.832,.007,*,
X1_verbalni_pamet_a_uceni_pok6,VE,(Intercept),2.55 (3.55),,,,
X1_verbalni_pamet_a_uceni_pok6,VE,MR,-2.14 (5.04),-0.425,.673,,
X1_verbalni_pamet_a_uceni_pok6,VE,mental_age,0.65 (0.41),1.578,.121,,
X1_verbalni_pamet_a_uceni_pok6,VE,MR:mental_age,0.03 (0.58),0.044,.965,,
X1_verbalni_pamet_a_uceni_pok6,KOD,(Intercept),-0.49 (1.64),,,,
X1_verbalni_pamet_a_uceni_pok6,KOD,MR,4.73 (2.15),2.202,.032,*,
X1_verbalni_pamet_a_uceni_pok6,KOD,mental_age,0.90 (0.19),4.619,< .001,*,
X1_verbalni_pamet_a_uceni_pok6,KOD,MR:mental_age,-0.65 (0.26),-2.519,.015,*,
X1_verbalni_pamet_a_uceni_pok6,PO,(Intercept),-2.25 (2.88),,,,
X1_verbalni_pamet_a_uceni_pok6,PO,MR,3.43 (3.99),0.860,.394,,
X1_verbalni_pamet_a_uceni_pok6,PO,mental_age,1.22 (0.34),3.645,< .001,*,
X1_verbalni_pamet_a_uceni_pok6,PO,MR:mental_age,-0.63 (0.46),-1.351,.183,,
X1_verbalni_pamet_a_uceni_pok6,ŘO,(Intercept),1.86 (1.65),,,,
X1_verbalni_pamet_a_uceni_pok6,ŘO,MR,1.82 (2.19),0.834,.408,,
X1_verbalni_pamet_a_uceni_pok6,ŘO,mental_age,0.61 (0.18),3.491,< .001,*,
X1_verbalni_pamet_a_uceni_pok6,ŘO,MR:mental_age,-0.32 (0.23),-1.381,.173,,
X1_verbalni_pamet_a_uceni_pok6,POČ,(Intercept),-3.32 (3.65),,,,
X1_verbalni_pamet_a_uceni_pok6,POČ,MR,1.79 (4.90),0.366,.716,,
X1_verbalni_pamet_a_uceni_pok6,POČ,mental_age,1.34 (0.47),2.875,.006,*,
X1_verbalni_pamet_a_uceni_pok6,POČ,MR:mental_age,-0.34 (0.63),-0.536,.594,,
X1_verbalni_pamet_a_uceni_pok6,KOS,(Intercept),-3.69 (2.63),,,,
X1_verbalni_pamet_a_uceni_pok6,KOS,MR,7.36 (3.17),2.320,.024,*,
X1_verbalni_pamet_a_uceni_pok6,KOS,mental_age,1.36 (0.34),3.986,< .001,*,
X1_verbalni_pamet_a_uceni_pok6,KOS,MR:mental_age,-1.01 (0.42),-2.429,.019,*,
X1_verbalni_pamet_a_uceni_pok6,SLO,(Intercept),-2.73 (3.09),,,,
X1_verbalni_pamet_a_uceni_pok6,SLO,MR,8.29 (4.36),1.901,.063,,
X1_verbalni_pamet_a_uceni_pok6,SLO,mental_age,1.26 (0.38),3.275,.002,*,
X1_verbalni_pamet_a_uceni_pok6,SLO,MR:mental_age,-1.18 (0.54),-2.174,.034,*,
X1_verbalni_pamet_a_uceni_pok6,POR,(Intercept),-1.25 (2.19),,,,
X1_verbalni_pamet_a_uceni_pok6,POR,MR,8.08 (2.92),2.762,.008,*,
X1_verbalni_pamet_a_uceni_pok6,POR,mental_age,1.05 (0.27),3.935,< .001,*,
X1_verbalni_pamet_a_uceni_pok6,POR,MR:mental_age,-1.13 (0.36),-3.161,.003,*,
X1_verbalni_pamet_a_uceni_pok7,DO,(Intercept),1.32 (2.53),,,,
X1_verbalni_pamet_a_uceni_pok7,DO,MR,4.83 (3.42),1.413,.164,,
X1_verbalni_pamet_a_uceni_pok7,DO,mental_age,0.77 (0.30),2.530,.014,*,
X1_verbalni_pamet_a_uceni_pok7,DO,MR:mental_age,-0.85 (0.41),-2.074,.043,*,
X1_verbalni_pamet_a_uceni_pok7,VE,(Intercept),3.48 (4.50),,,,
X1_verbalni_pamet_a_uceni_pok7,VE,MR,-9.34 (6.38),-1.465,.149,,
X1_verbalni_pamet_a_uceni_pok7,VE,mental_age,0.49 (0.52),0.935,.354,,
X1_verbalni_pamet_a_uceni_pok7,VE,MR:mental_age,0.84 (0.74),1.134,.262,,
X1_verbalni_pamet_a_uceni_pok7,KOD,(Intercept),2.28 (1.93),,,,
X1_verbalni_pamet_a_uceni_pok7,KOD,MR,-1.19 (2.52),-0.474,.638,,
X1_verbalni_pamet_a_uceni_pok7,KOD,mental_age,0.55 (0.23),2.427,.019,*,
X1_verbalni_pamet_a_uceni_pok7,KOD,MR:mental_age,0.01 (0.30),0.033,.974,,
X1_verbalni_pamet_a_uceni_pok7,PO,(Intercept),0.79 (2.87),,,,
X1_verbalni_pamet_a_uceni_pok7,PO,MR,-3.27 (3.97),-0.823,.415,,
X1_verbalni_pamet_a_uceni_pok7,PO,mental_age,0.87 (0.33),2.593,.012,*,
X1_verbalni_pamet_a_uceni_pok7,PO,MR:mental_age,0.08 (0.46),0.168,.867,,
X1_verbalni_pamet_a_uceni_pok7,ŘO,(Intercept),2.51 (1.87),,,,
X1_verbalni_pamet_a_uceni_pok7,ŘO,MR,0.61 (2.48),0.248,.805,,
X1_verbalni_pamet_a_uceni_pok7,ŘO,mental_age,0.53 (0.20),2.655,.011,*,
X1_verbalni_pamet_a_uceni_pok7,ŘO,MR:mental_age,-0.26 (0.27),-0.969,.337,,
X1_verbalni_pamet_a_uceni_pok7,POČ,(Intercept),1.53 (3.60),,,,
X1_verbalni_pamet_a_uceni_pok7,POČ,MR,-9.22 (4.83),-1.911,.062,,
X1_verbalni_pamet_a_uceni_pok7,POČ,mental_age,0.71 (0.46),1.543,.129,,
X1_verbalni_pamet_a_uceni_pok7,POČ,MR:mental_age,1.00 (0.62),1.622,.111,,
X1_verbalni_pamet_a_uceni_pok7,KOS,(Intercept),-1.35 (3.21),,,,
X1_verbalni_pamet_a_uceni_pok7,KOS,MR,5.21 (3.86),1.348,.183,,
X1_verbalni_pamet_a_uceni_pok7,KOS,mental_age,1.05 (0.42),2.530,.014,*,
X1_verbalni_pamet_a_uceni_pok7,KOS,MR:mental_age,-0.83 (0.51),-1.635,.108,,
X1_verbalni_pamet_a_uceni_pok7,SLO,(Intercept),2.30 (3.64),,,,
X1_verbalni_pamet_a_uceni_pok7,SLO,MR,-2.62 (5.13),-0.511,.612,,
X1_verbalni_pamet_a_uceni_pok7,SLO,mental_age,0.62 (0.45),1.368,.177,,
X1_verbalni_pamet_a_uceni_pok7,SLO,MR:mental_age,0.11 (0.64),0.175,.862,,
X1_verbalni_pamet_a_uceni_pok7,POR,(Intercept),0.25 (2.54),,,,
X1_verbalni_pamet_a_uceni_pok7,POR,MR,1.50 (3.39),0.441,.661,,
X1_verbalni_pamet_a_uceni_pok7,POR,mental_age,0.89 (0.31),2.886,.006,*,
X1_verbalni_pamet_a_uceni_pok7,POR,MR:mental_age,-0.42 (0.41),-1.004,.320,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,DO,(Intercept),38.58 (3.53),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,DO,MR,5.77 (4.78),1.207,.233,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,DO,mental_age,0.72 (0.42),1.694,.096,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,DO,MR:mental_age,-0.90 (0.57),-1.572,.122,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,VE,(Intercept),40.29 (4.77),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,VE,MR,-14.94 (6.77),-2.208,.032,*,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,VE,mental_age,0.65 (0.55),1.185,.242,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,VE,MR:mental_age,1.39 (0.78),1.776,.082,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOD,(Intercept),38.62 (2.74),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOD,MR,-1.35 (3.58),-0.378,.707,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOD,mental_age,0.60 (0.32),1.836,.072,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOD,MR:mental_age,0.12 (0.43),0.290,.773,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,PO,(Intercept),34.12 (3.88),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,PO,MR,-0.84 (5.38),-0.156,.877,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,PO,mental_age,1.24 (0.45),2.757,.008,*,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,PO,MR:mental_age,-0.11 (0.63),-0.172,.864,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,ŘO,(Intercept),38.56 (2.48),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,ŘO,MR,1.36 (3.29),0.415,.680,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,ŘO,mental_age,0.66 (0.26),2.494,.016,*,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,ŘO,MR:mental_age,-0.32 (0.35),-0.904,.370,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POČ,(Intercept),30.07 (5.27),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POČ,MR,0.50 (7.07),0.071,.944,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POČ,mental_age,1.77 (0.67),2.628,.011,*,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POČ,MR:mental_age,-0.17 (0.91),-0.186,.853,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOS,(Intercept),31.81 (4.21),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOS,MR,8.99 (5.08),1.770,.083,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOS,mental_age,1.57 (0.55),2.875,.006,*,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,KOS,MR:mental_age,-1.28 (0.67),-1.928,.059,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,SLO,(Intercept),38.65 (4.69),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,SLO,MR,2.18 (6.60),0.330,.743,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,SLO,mental_age,0.67 (0.58),1.151,.255,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,SLO,MR:mental_age,-0.41 (0.82),-0.503,.617,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POR,(Intercept),38.01 (3.49),,,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POR,MR,5.94 (4.65),1.277,.207,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POR,mental_age,0.72 (0.42),1.711,.093,,
X1_verbalni_pamet_a_uceni_rekognice_sumHS,POR,MR:mental_age,-0.86 (0.57),-1.520,.134,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,DO,(Intercept),7.69 (1.78),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,DO,MR,5.12 (2.41),2.123,.039,*,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,DO,mental_age,0.55 (0.21),2.555,.014,*,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,DO,MR:mental_age,-0.66 (0.29),-2.262,.028,*,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,VE,(Intercept),10.04 (2.41),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,VE,MR,-2.59 (3.42),-0.756,.453,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,VE,mental_age,0.35 (0.28),1.240,.220,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,VE,MR:mental_age,0.18 (0.40),0.448,.656,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOD,(Intercept),9.47 (1.43),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOD,MR,1.05 (1.88),0.557,.580,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOD,mental_age,0.33 (0.17),1.959,.055,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOD,MR:mental_age,-0.15 (0.23),-0.671,.505,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,PO,(Intercept),10.29 (1.59),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,PO,MR,-1.58 (2.20),-0.718,.476,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,PO,mental_age,0.33 (0.18),1.761,.084,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,PO,MR:mental_age,0.06 (0.26),0.223,.824,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,ŘO,(Intercept),10.19 (1.32),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,ŘO,MR,0.23 (1.75),0.129,.898,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,ŘO,mental_age,0.24 (0.14),1.690,.097,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,ŘO,MR:mental_age,-0.06 (0.19),-0.333,.740,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POČ,(Intercept),8.36 (2.43),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POČ,MR,-0.69 (3.26),-0.213,.832,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POČ,mental_age,0.52 (0.31),1.675,.100,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POČ,MR:mental_age,0.04 (0.42),0.084,.933,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOS,(Intercept),7.53 (2.30),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOS,MR,4.25 (2.77),1.534,.131,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOS,mental_age,0.59 (0.30),1.988,.052,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,KOS,MR:mental_age,-0.57 (0.36),-1.574,.122,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,SLO,(Intercept),7.98 (1.94),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,SLO,MR,4.39 (2.74),1.603,.115,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,SLO,mental_age,0.58 (0.24),2.400,.020,*,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,SLO,MR:mental_age,-0.63 (0.34),-1.862,.068,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POR,(Intercept),9.14 (1.76),,,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POR,MR,3.62 (2.34),1.545,.128,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POR,mental_age,0.42 (0.21),1.969,.054,,
X1_verbalni_pamet_a_uceni_rekog_sumSeznam1,POR,MR:mental_age,-0.52 (0.29),-1.835,.072,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,DO,(Intercept),12.86 (1.15),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,DO,MR,1.44 (1.56),0.927,.358,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,DO,mental_age,0.10 (0.14),0.728,.470,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,DO,MR:mental_age,-0.23 (0.19),-1.213,.231,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,VE,(Intercept),13.34 (1.76),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,VE,MR,-3.72 (2.49),-1.492,.142,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,VE,mental_age,0.06 (0.20),0.295,.769,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,VE,MR:mental_age,0.37 (0.29),1.275,.208,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOD,(Intercept),13.09 (0.91),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOD,MR,-0.80 (1.19),-0.676,.502,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOD,mental_age,0.08 (0.11),0.755,.454,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOD,MR:mental_age,0.05 (0.14),0.334,.740,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,PO,(Intercept),12.73 (1.28),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,PO,MR,-2.99 (1.78),-1.682,.099,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,PO,mental_age,0.11 (0.15),0.726,.471,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,PO,MR:mental_age,0.31 (0.21),1.513,.136,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,ŘO,(Intercept),13.25 (0.84),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,ŘO,MR,0.32 (1.11),0.284,.777,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,ŘO,mental_age,0.05 (0.09),0.531,.598,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,ŘO,MR:mental_age,-0.08 (0.12),-0.671,.505,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POČ,(Intercept),12.16 (1.72),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POČ,MR,-4.01 (2.31),-1.739,.088,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POČ,mental_age,0.18 (0.22),0.830,.410,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POČ,MR:mental_age,0.49 (0.30),1.647,.106,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOS,(Intercept),12.88 (1.43),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOS,MR,1.67 (1.72),0.972,.336,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOS,mental_age,0.11 (0.18),0.570,.571,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,KOS,MR:mental_age,-0.28 (0.23),-1.247,.218,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,SLO,(Intercept),12.72 (1.46),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,SLO,MR,2.42 (2.05),1.181,.243,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,SLO,mental_age,0.13 (0.18),0.720,.475,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,SLO,MR:mental_age,-0.36 (0.25),-1.428,.159,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POR,(Intercept),13.19 (1.07),,,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POR,MR,0.72 (1.42),0.506,.615,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POR,mental_age,0.07 (0.13),0.504,.616,,
X1_verbalni_pamet_a_uceni_rekog_nuc_volba,POR,MR:mental_age,-0.14 (0.17),-0.835,.407,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,DO,(Intercept),-4.22 (8.10),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,DO,MR,15.66 (10.95),1.431,.159,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,DO,mental_age,3.59 (0.97),3.700,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,DO,MR:mental_age,-3.53 (1.32),-2.678,.010,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,VE,(Intercept),-33.77 (16.83),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,VE,MR,29.39 (23.88),1.231,.224,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,VE,mental_age,7.15 (1.94),3.675,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,VE,MR:mental_age,-5.24 (2.76),-1.897,.063,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOD,(Intercept),-21.68 (6.05),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOD,MR,33.54 (7.91),4.241,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOD,mental_age,5.32 (0.72),7.418,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOD,MR:mental_age,-5.31 (0.95),-5.590,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,PO,(Intercept),-34.24 (10.54),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,PO,MR,33.05 (14.60),2.264,.028,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,PO,mental_age,7.11 (1.23),5.802,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,PO,MR:mental_age,-5.55 (1.70),-3.266,.002,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,ŘO,(Intercept),-13.23 (6.62),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,ŘO,MR,25.85 (8.78),2.945,.005,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,ŘO,mental_age,4.36 (0.70),6.200,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,ŘO,MR:mental_age,-4.43 (0.94),-4.716,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POČ,(Intercept),-32.32 (14.30),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POČ,MR,42.56 (19.19),2.218,.031,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POČ,mental_age,7.04 (1.83),3.851,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POČ,MR:mental_age,-6.81 (2.46),-2.769,.008,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOS,(Intercept),-44.77 (10.94),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOS,MR,54.03 (13.19),4.097,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOS,mental_age,8.73 (1.42),6.158,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,KOS,MR:mental_age,-8.35 (1.73),-4.832,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,SLO,(Intercept),-10.40 (13.51),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,SLO,MR,24.99 (19.04),1.313,.195,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,SLO,mental_age,4.06 (1.68),2.426,.019,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,SLO,MR:mental_age,-4.40 (2.36),-1.859,.069,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POR,(Intercept),-12.53 (9.60),,,,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POR,MR,26.50 (12.79),2.071,.043,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POR,mental_age,4.56 (1.16),3.924,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_sum_1_2,POR,MR:mental_age,-4.82 (1.56),-3.087,.003,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,DO,(Intercept),5.81 (5.08),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,DO,MR,1.91 (6.86),0.278,.782,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,DO,mental_age,1.07 (0.61),1.760,.084,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,DO,MR:mental_age,-1.02 (0.83),-1.233,.223,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,VE,(Intercept),-21.25 (10.60),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,VE,MR,19.08 (15.04),1.269,.210,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,VE,mental_age,4.56 (1.22),3.727,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,VE,MR:mental_age,-3.36 (1.74),-1.932,.059,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOD,(Intercept),-5.60 (3.75),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOD,MR,13.62 (4.90),2.777,.008,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOD,mental_age,2.35 (0.44),5.285,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOD,MR:mental_age,-2.33 (0.59),-3.964,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,PO,(Intercept),-15.27 (6.73),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,PO,MR,14.04 (9.32),1.507,.138,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,PO,mental_age,3.70 (0.78),4.733,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,PO,MR:mental_age,-2.59 (1.09),-2.387,.021,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,ŘO,(Intercept),-4.32 (4.08),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,ŘO,MR,12.34 (5.40),2.283,.027,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,ŘO,mental_age,2.26 (0.43),5.230,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,ŘO,MR:mental_age,-2.25 (0.58),-3.885,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POČ,(Intercept),-15.14 (9.17),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POČ,MR,23.70 (12.31),1.925,.060,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POČ,mental_age,3.83 (1.17),3.269,.002,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,POČ,MR:mental_age,-3.89 (1.58),-2.462,.017,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOS,(Intercept),-20.94 (6.96),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOS,MR,27.61 (8.38),3.293,.002,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOS,mental_age,4.63 (0.90),5.141,< .001,*,*
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,KOS,MR:mental_age,-4.43 (1.10),-4.029,< .001,*,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,SLO,(Intercept),0.62 (8.00),,,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,SLO,MR,9.15 (11.28),0.812,.421,,
X2_pamet_na_pribehy_OKAMZITE_pribeh1_ok_sum,SLO,mental_age,1.66 (0.99),1.670,.101,,
